id,success,testType,failedAt,deviation,objPosX,objPosY,goalPosX,goalPosY,j1,j2,j3,j4,j5,j6,x,y,z,q1,q2,q3,totalThrowTime,calibImgTime,findObjTime,pathCalcTime,grabTime,throwTime,apiLogTime
63,0,"Ping Pong Ball: Reduced throwTime",Throw,8,0.450325,0.550287,0.093465,0.506818,0,0,0,0,0,0,0,0,0,0,0,0,20919.2,-1,9419.1,0.282933,7267.94,13613.7,10.3004
64,0,"Ping Pong Ball: Reduced throwTime",Throw,6,0.450319,0.547986,0.0889058,0.561364,0,0,0,0,0,0,0,0,0,0,0,0,25064.7,-1,8839.39,0.232504,7284.49,12394.9,35.7822
65,1,"Ping Pong Ball: Reduced throwTime",,-1,0.45261,0.547993,0.093465,0.665909,0,0,0,0,0,0,0,0,0,0,0,0,18869.4,-1,8279,0.236511,7320.53,10184.9,32.8681
66,0,"Ping Pong Ball: Reduced throwTime",Throw,7,0.45261,0.547993,0.093465,0.720455,0,0,0,0,0,0,0,0,0,0,0,0,32231.7,-1,7294.29,0.343452,7408.35,11082.6,9.37992
67,1,"Ping Pong Ball: Reduced throwTime",,-1,0.45261,0.547993,0.191489,0.720455,0,0,0,0,0,0,0,0,0,0,0,0,15803.4,-1,201617,0.338933,7293.74,203523,32.807
68,0,"Ping Pong Ball: Reduced throwTime",Throw,17,0.448027,0.54798,0.191489,0.720455,0,0,0,0,0,0,0,0,0,0,0,0,20435.7,-1,10037.2,0.246561,7255,15071.2,9.36685
69,0,"Ping Pong Ball: Reduced throwTime",Throw,18,0.448027,0.54798,0.193769,0.613636,0,0,0,0,0,0,0,0,0,0,0,0,15599.5,-1,14581.4,0.280504,7245.63,20285.8,9.07153
70,0,"Ping Pong Ball: Reduced throwTime",Throw,14,0.448027,0.54798,0.191489,0.506818,0,0,0,0,0,0,0,0,0,0,0,0,30330,-1,10964,0.231811,7283.65,17750.4,33.4461
71,0,"Ping Pong Ball: Reduced throwTime",Throw,20,0.448027,0.54798,0.193769,0.4,0,0,0,0,0,0,0,0,0,0,0,0,19794.9,-1,13628,0.433943,7296.19,42401.7,33.8261
72,0,"Ping Pong Ball: Reduced throwTime",Throw,12,0.448027,0.54798,0.196049,0.295455,0,0,0,0,0,0,0,0,0,0,0,0,15272.6,-1,45448.1,0.255826,7247.51,112001,33.8658
73,0,"Ping Pong Ball: Reduced throwTime",Throw,12,0.452623,0.552594,0.205167,0.0818182,1.57388,-1.65657,1.44778,-2.91317,-0.565851,-1.57542,0.180794,-0.393143,0.688459,1.91315,-0.566891,1.89977,15882.6,-1,16416.4,0.244467,7293.16,20735,9.37703
74,1,"Consistency test: Ping Pong Ball",,-1,0.452616,0.550293,0.104863,0.138636,2.1324,-2.03595,2.31482,-1.86485,-1.55215,-1.37832,0.244496,-0.180027,0.280357,-2.58145,1.77171,-0.0344134,17200.4,-1,6882.11,0.261349,7289.45,8755.21,32.7918
75,1,"Consistency test: Ping Pong Ball",,-1,0.452616,0.550293,0.102584,0.140909,2.13239,-2.03599,2.31489,-1.86485,-1.55216,-1.37826,0.244481,-0.180011,0.280336,-2.58139,1.7718,-0.034371,15681.8,-1,8414.98,0.250058,7297.19,10265.9,10.7375
76,1,"Consistency test: Ping Pong Ball",,-1,0.450325,0.550287,0.0980243,0.136364,0,0,0,0,0,0,0,0,0,0,0,0,15890.3,-1,5982.08,0.268626,7259.51,7856.45,10.6458
77,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.102584,0.138636,0,0,0,0,0,0,0,0,0,0,0,0,19302.7,-1,38021.3,0.253865,7312.96,39888.5,32.5986
78,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.102584,0.138636,0,0,0,0,0,0,0,0,0,0,0,0,17685.2,-1,6874.95,0.427881,7304.37,8749.77,10.9902
